Year,LettersScience,NaturalResources,EnvironmentalDesign,Optometry,Engineering,Chemistry,Haas
1996,5055,172,203,46,721,208,672
1997,4955,190,184,32,809,189,701
1998,5002,157,203,32,819,160,704
1999,5521,173,183,24,911,168,767
2000,5852,174,182,33,914,157,770
2001,6131,130,185,15,1044,174,901
2002,6513,200,200,13,1122,144,970
2003,7152,211,212,0,1212,185,1065
2004,7504,287,215,0,1029,230,1110
2005,7411,297,221,0,973,370,1143
2006,7564,349,233,0,922,417,1160
2007,7583,389,319,0,961,471,1314
2008,8626,480,327,0,1007,467,1465
2009,9268,575,321,0,1125,512,1490
2010,10561,644,342,0,1409,622,1542
2011,11251,661,327,0,1557,700,1530
2012,10769,710,303,0,1761,738,1473
2013,10857,664,305,0,1905,754,1508
2014,11345,648,291,0,2021,678,1637
2015,11616,584,308,0,2298,621,1824
2016,12852,707,312,0,2647,713,1917
2017,12642,747,302,0,2453,626,1839
2018,13170,757,313,0,2449,583,1920
2019,13209,754,326,0,2353,550,1862
2020,14525,978,356,0,2061,485,2004
